,teamname,rating,rd,kills,deaths,assists,ckpm,team kpm
176,Gravitas,931.67422781743,165.0084984356448,9.735294117647058,18.07843137254902,21.294117647058822,0.932878431372549,0.3109166666666667
177,ORDER,905.0835894700333,158.06640941901486,13.5,13.005882352941176,31.558823529411764,0.8574400000000001,0.4388352941176471
178,Pentanet.GG,862.1698316589999,147.29563391552634,14.679802955665025,13.167487684729064,34.389162561576356,0.9049128078817734,0.48371625615763547
179,Chiefs Esports Club,849.8724705541206,144.0616404449858,16.62008733624454,12.51528384279476,37.39737991266376,0.9646890829694323,0.5616423580786025
180,MAMMOTH,873.5114886651445,149.36781731564147,11.096551724137932,17.889655172413793,24.641379310344828,1.0129937931034483,0.3733744827586207
181,Dire Wolves,867.2245568002337,148.0183154527171,14.231155778894472,14.381909547738694,32.57788944723618,0.9182819095477387,0.45562763819095475
182,Team Flash,843.6341920397331,142.890263665024,13.803225806451612,15.525806451612903,29.903225806451612,0.9474103225806452,0.44279193548387097
183,EVOS Esports,1041.0723883838104,196.32842482556208,15.012987012987013,13.74025974025974,34.116883116883116,0.9099662337662339,0.47855064935064934
184,GAM Esports,813.7731739920034,135.89338515856588,17.560794044665013,12.771712158808933,39.55086848635236,1.0179729528535981,0.5979461538461538
185,CERBERUS Esports,848.8496832212265,143.57558835965094,15.125373134328358,14.343283582089553,34.71641791044776,0.9377859701492537,0.48136656716417914
186,V Gaming Adonis,1190.9334120795972,244.65920884547472,14.387096774193548,19.612903225806452,30.032258064516128,1.1096290322580644,0.4616096774193548
187,Saigon Buffalo,844.6662861657651,142.73376216175632,15.177966101694915,14.584745762711865,33.536723163841806,0.9938293785310734,0.5085313559322034
188,Royal Youth,1085.443561112325,209.54283879397596,8.93939393939394,16.96969696969697,20.303030303030305,0.8897090909090909,0.2836181818181818
189,SuperMassive Esports,991.4775523190488,181.60655511306064,14.94047619047619,11.845238095238095,35.666666666666664,0.8324023809523811,0.4688797619047619
190,Dark Passage,849.4771204509142,143.76470846244564,13.683333333333334,13.372222222222222,32.07222222222222,0.8420233333333333,0.42091222222222224
191,İstanbul Wildcats,834.59576186589,140.75159923755834,16.61085972850679,12.076923076923077,39.67420814479638,0.9047859728506786,0.532341628959276
192,Fenerbahçe Esports,905.7576419894895,158.38567210448042,13.244094488188976,13.4251968503937,30.84251968503937,0.8499629921259843,0.42423307086614176
193,5 Ronin,896.9569730530723,155.7216979628684,10.620967741935484,14.024193548387096,23.806451612903224,0.796258064516129,0.3379258064516129
194,Lowkey Esports.Vietnam,1337.6891050238826,298.80186945586684,14.285714285714286,13.142857142857142,28.142857142857142,0.9136,0.4980857142857143
195,FTV Esports,1190.9334120795972,244.65920884547472,11.774193548387096,18.806451612903224,25.451612903225808,1.0138354838709678,0.37454516129032256
196,Beşiktaş Esports,866.9605578211448,147.35975211111375,12.886075949367088,13.512658227848101,30.474683544303797,0.8210879746835443,0.4032841772151899
197,Galakticos,860.5411243738928,145.7195478863325,11.529411764705882,14.581699346405228,26.758169934640524,0.8279477124183007,0.36543725490196083
198,Team AURORA,914.0189032056433,160.42617349493273,11.462962962962964,16.046296296296298,26.72222222222222,0.8976907407407407,0.3633074074074074
199,Dark Passage Academy,931.9059415547881,164.77537142672946,14.411214953271028,14.57943925233645,31.897196261682243,0.9337056074766354,0.4653439252336449
200,İstanbul Wildcats Academy,931.9059415547881,164.77537142672946,16.050420168067227,12.016806722689076,35.94957983193277,0.9234747899159664,0.5343571428571429
201,Fenerbahçe Academy,941.5838607578664,167.07207861921697,13.936842105263159,13.957894736842105,29.86315789473684,0.8704000000000001,0.4409705263157895
202,5 Ronin Academy,941.5838607578664,167.07207861921697,11.988636363636363,16.40909090909091,27.113636363636363,0.9255306818181819,0.3817159090909091
